,industry_id,,,,,
,(Close-LowN)/(HighN-LowN) ,,(Close - Close1)/Close1,,Ln(Close) - Ln(Close1),
date,1,2,1,2,1,2
2017-10-24,0.459479027,0.390770464,0,0,0,0
2017-10-25,0.583002266,0.733063876,0.001776681,0.000966622,0.001775104,0.000966155
2017-10-26,0.485004961,0.53112569,0.000550279,0.002379327,0.000550127,0.002382162
2017-10-27,0.723345234,0.732564691,0.010980122,0.004072792,0.011040848,0.004081109
2017-10-30,0.509219576,0.350350738,0.001484619,0.004456443,0.001483518,0.004446543
2017-10-31,0.698764406,0.590269236,0.006134291,0.008700414,0.006153183,0.008738483
2017-11-01,0.41047086,0.250574981,0.001117348,0.006098446,0.001117972,0.006079925
2017-11-02,0.563553364,0.504770058,0.000808694,0.005623442,0.000809021,0.005607689
2017-11-03,0.581866417,0.579785647,0.000632339,0.00420965,0.000632539,0.004218535
2017-11-06,0.61314114,0.249555086,0.006448918,0.011348589,0.006469802,0.011284677
2017-11-07,0.247296434,0.665618195,0.040572086,0.001340643,0.039770645,0.001341542
2017-11-08,0.660110845,0.748853601,0.004891046,0.017812905,0.004903047,0.017973465
2017-11-09,0.772872284,0.590529777,0.00679881,0.001306409,0.006822027,0.001307263
2017-11-10,0.571278433,0.602399414,0.000722634,0.009304688,0.000722895,0.009348247
2017-11-13,0.642090935,0.600615315,0.005637795,0.005577099,0.005653748,0.005592709
2017-11-14,0.624521404,0.621536682,0.002404842,0.003299984,0.002407738,0.003305441
2017-11-15,0.606714526,0.264409006,0.003343116,0.007769729,0.003348716,0.0077397
2017-11-16,0.672116332,0.754245154,0.000373819,0.017880362,0.000373749,0.018042148
2017-11-17,0.5173289,0.449953071,0.004233513,0.000710759,0.0042425,0.000710506
2017-11-20,0.379782573,0.843374552,0.000732196,0.009773553,0.000732465,0.009821627
2017-11-21,0.616132374,0.519331473,0.006232262,0.005045308,0.006251764,0.005058078
2017-11-22,0.418897812,0.271824897,9.70979E-05,0.008158427,9.70932E-05,0.008125327
2017-11-27,0.396444773,0.500848961,0.004756847,0.00100341,0.004768197,0.001002907
2017-11-28,0.644728829,0.87126575,0.004549983,0.014028456,0.004560366,0.014127785
2017-11-29,0.516271062,0.785061177,0.003523357,0.014289994,0.003517165,0.014393079
2017-11-30,0.60866885,0.605209051,0.007073533,0.008525267,0.007098669,0.008561815
2017-12-01,0.67709687,0.82924238,0.002003552,0.006977145,0.002001548,0.007001599
2017-12-04,0.339074377,0.29967179,0.000136377,0.002899138,0.000136387,0.002903349
2017-12-05,0.305205942,0.230662712,0.002830015,0.009624437,0.002826019,0.009578417
2017-12-06,0.470075651,0.545595318,0.003731198,0.005141604,0.003724254,0.005128431
2017-12-07,0.715410713,0.438416774,0.003368913,0.002210857,0.003374601,0.002208417
2017-12-08,0.458649488,0.544342958,0.004099938,0.00462235,0.004108366,0.004633067
2017-12-11,0.554955819,0.40616444,0.001470103,0.009745879,0.001471184,0.009698694
2017-12-12,0.443975873,0.602013186,0.001543261,0.007756119,0.001544453,0.007786354
2017-12-13,0.53891262,0.473394084,0.003777988,0.000372632,0.003785143,0.000372563
2017-12-14,0.464270203,0.132557814,0.002240223,0.044639138,0.002242736,0.043671504
2017-12-15,0.393403893,0.61482461,0.003540756,0.001308529,0.00354704,0.001309386
2017-12-18,0.611497385,0.636663314,0.009399915,0.010403919,0.009444373,0.010458418
2017-12-19,0.386714184,0.199881114,0.003135608,0.007367513,0.003130703,0.007340505
2017-12-20,0.327405023,0.499935515,0.003524754,0.005677779,0.003518556,0.005693959
2017-12-21,0.509705702,0.193212033,0.003173813,0.007691172,0.00317886,0.007661746
2017-12-22,0.535059691,0.426322882,0.00064587,0.001586396,0.000646078,0.001587656
2017-12-26,0.546454091,0.508622375,0.000155807,0.004800849,0.00015582,0.00481241
2017-12-27,0.479733903,0.424377088,0.000283821,0.000169914,0.000283862,0.000169928
2017-12-28,0.70911161,0.818489041,0.004138357,0.012937091,0.004146944,0.013021505
2017-12-29,0.124871589,0.257551679,0.00843647,0.00450923,0.008401082,0.004499094
2018-01-02,0.731192577,0.429394218,0.01645179,0.00541484,0.016588624,0.005400232
2018-01-03,0.678756821,0.501907263,0.009702566,0.002939709,0.009749943,0.002935396
2018-01-04,0.26874055,0.578186405,0.005410791,0.003259839,0.005396205,0.003265164
2018-01-05,0.781708776,0.475596391,0.009736914,0.002497641,0.009784628,0.002494527
2018-01-08,0.581668312,0.589032193,0.008576557,0.009936132,0.008613548,0.009985825
2018-01-09,0.362177915,0.46556571,0.000480158,0.000783888,0.000480273,0.000784195
2018-01-10,0.694738098,0.576227249,0.000877704,0.008429986,0.000877319,0.008394652
2018-01-11,0.811394669,0.605423657,0.012235469,0.005745575,0.012310939,0.005762144
2018-01-12,0.773806202,0.464389068,0.012782629,0.002041853,0.01286503,0.002039771
2018-01-16,0.224999068,0.150036502,0.003355077,0.010813584,0.003349462,0.010755536
2018-01-17,0.636725715,0.37869904,0.007855617,0.002056641,0.007886635,0.002058758
2018-01-18,0.392146274,0.486915193,0.002555849,0.003296918,0.002552589,0.003291496
2018-01-19,0.483640173,0.699778533,0.002558148,0.011704574,0.002561425,0.011773612
2018-01-22,0.826666895,0.793431878,0.010639808,0.009129907,0.010696815,0.00917184
2018-01-23,0.746852479,0.417799925,0.01679938,0.002314468,0.016942091,0.002311794
2018-01-24,0.470436949,0.383772611,0.000553885,0.006375048,0.000554039,0.006354814
2018-01-25,0.514224338,0.283484401,0.001695922,0.004874621,0.001697362,0.004862778
2018-01-26,0.770108781,0.83841615,0.007468484,0.008946057,0.007496513,0.008986314
2018-01-29,0.437413874,0.188320643,0.00125228,0.012446566,0.001251496,0.012369745
2018-01-30,0.666545613,0.4962436,0.00337215,0.02255396,0.003366477,0.022303381
2018-01-31,0.314058476,0.353182767,0.002782133,0.017640651,0.00277827,0.017486861
2018-02-01,0.218994763,0.585020421,0.014230325,0.000879484,0.014130025,0.000879871
2018-02-02,0.201580196,0.333287084,0.007535806,0.015090073,0.007507553,0.014977351
2018-02-05,0.275671726,0.052167056,0.029463154,0.030287333,0.029037456,0.029837728
2018-02-06,0.927385484,0.787141411,0.02038878,0.010940521,0.020599501,0.011000809
2018-02-07,0.346176848,0.426015488,0.002101249,0.002244229,0.002099044,0.002246751
2018-02-08,0.025359057,0.102418775,0.041680445,0.016469676,0.040835222,0.016335522
2018-02-09,0.64039275,0.669070112,0.000619911,0.011276838,0.000619719,0.011340904
2018-02-12,0.753427318,0.665000642,0.015727481,0.007208919,0.01585247,0.007235028
2018-02-13,0.769140167,0.695676834,0.006910094,0.003805497,0.00693408,0.003812756
2018-02-14,0.840847639,0.867620802,0.013050135,0.019875612,0.013136037,0.020075789
2018-02-15,0.748078939,0.835656177,0.013831592,0.011482894,0.01392814,0.011549332
2018-02-16,0.367246874,0.714429149,0.001275018,0.002862115,0.001275831,0.002866219
2018-02-20,0.340136351,0.504884627,0.002783453,0.004609571,0.002779587,0.004598979
2018-02-21,0.114845544,0.119617945,0.000958855,0.006847131,0.000958396,0.006823796
2018-02-22,0.334349193,0.358423197,0.000990134,0.01141185,0.000990624,0.011347226
2018-02-23,0.902160484,0.780574551,0.01430925,0.007557201,0.014412614,0.007585902
2018-02-26,0.58834671,0.686939346,0.006196498,0.003999391,0.006215776,0.00400741
2018-02-27,0.278814711,0.147093648,0.01199451,0.009529694,0.011923146,0.009484573
2018-02-28,0.110340695,0.070741882,0.016824897,0.01084251,0.016968044,0.010784151
2018-03-01,0.444477863,0.337291873,0.008303658,0.00215276,0.008269372,0.002150447
2018-03-02,0.809059169,0.62077956,0.000458047,0.003667881,0.000457942,0.003674625
2018-03-05,0.865575507,0.534734731,0.016116652,0.002228308,0.016247938,0.002230794
2018-03-06,0.659661968,0.597826402,0.00696327,0.00430862,0.006987627,0.004317929
2018-03-07,0.780796747,0.773375068,0.003010837,0.000700018,0.003015378,0.000699773
2018-03-08,0.501062006,0.559607744,0.004591772,0.002585583,0.004602347,0.002588931
2018-03-09,0.868893158,0.795635356,0.015704797,0.01368111,0.015829424,0.013775559
2018-03-12,0.513702098,0.396268559,0.006389277,0.00068313,0.006409776,0.000683363
2018-03-13,0.202065204,0.271541968,0.00886363,0.001131667,0.008824579,0.001131027
2018-03-14,0.403844747,0.592636148,0.000395172,0.007818459,0.00039525,0.007849184
2018-03-15,0.39956323,0.114825011,0.001854539,0.02038037,0.001852821,0.020175469
2018-03-16,0.281514325,0.558653401,0.003011137,0.002758548,0.003006613,0.00276236
2018-03-19,0.458954648,0.617275271,0.013085606,0.001272182,0.013000729,0.001272992
2018-03-20,0.511814008,0.302952937,0.00535607,0.009675304,0.005370466,0.009628798
2018-03-21,0.369260156,0.505629583,0.001703764,0.001889965,0.001702314,0.001888181
2018-03-22,0.165087862,0.03393195,0.018083708,0.025669499,0.017922143,0.025345569
2018-03-23,0.037788238,0.078856572,0.018278066,0.00990234,0.018113031,0.009853633
2018-03-26,0.884168787,0.916714959,0.026563557,0.026534603,0.026922744,0.026893
2018-03-27,0.219325474,0.27088554,0.024042558,0.002460794,0.023758087,0.002457772
2018-03-28,0.488470157,0.383028142,0.014092428,0.004319999,0.013994053,0.004310694
2018-03-29,0.786002965,0.264655648,0.012321094,0.002034828,0.012397628,0.00203276
2018-04-02,0.301452545,0.360348155,0.030367044,0.02038735,0.029915092,0.020182311
2018-04-03,0.646681998,0.706267325,0.013468803,0.016936792,0.01356033,0.01708186
2018-04-04,0.898035066,0.716802832,0.01121387,0.012447544,0.01127722,0.012525663
2018-04-05,0.640581528,0.341176422,0.011958574,0.006823248,0.012030653,0.006800075
2018-04-06,0.15691158,0.246530758,0.025046337,0.014314175,0.024737818,0.014212695
2018-04-09,0.150437836,0.343047268,0.0023926,0.000870872,0.002395467,0.000871251
2018-04-10,0.551941766,0.439434053,0.009479521,0.006672832,0.009524738,0.006695195
2018-04-11,0.338112347,0.584713471,0.000781125,0.002785323,0.00078082,0.002781452
2018-04-12,0.420426233,0.539712213,0.004444381,0.003242056,0.004454286,0.003247322
2018-04-13,0.279116159,0.726330313,0.004005179,0.008446333,0.00399718,0.008482205
