,MI_Values,target_group
150,0.03839270225800373,retail
99,0.037897859579419046,retailer
23,0.029909634010506503,sale
39,0.02576044929192811,store
225,0.02195882229969337,commerce
310,0.02151661947782424,rule
143,0.021237091200382086,among
93,0.020861469743567618,quarter
478,0.019916901407261545,shopper
611,0.01718963310463062,japan
263,0.01686931154960991,chain
737,0.016088908396674872,century
585,0.016047187687404874,regulation
406,0.015841809099511384,agency
392,0.01583131378733804,acquisition
594,0.015803892412755483,size
754,0.015673560472080128,larger
700,0.015523966714485082,shop
117,0.015412719513103523,walmart
212,0.015267696383238105,delivery
172,0.014885837828534365,every
55,0.014779016359620645,customer
70,0.014631584290840216,plan
36,0.01457422871108549,much
402,0.01452119471311697,within
72,0.014511891879647187,financial
778,0.01435573303297799,computing
513,0.014177835690825757,twitter
231,0.014149630035944272,often
568,0.01414651320226712,live
323,0.014085080216918344,job
342,0.013890607786158915,away
105,0.01386322607790813,should
4,0.013714858644530148,amazon
730,0.013645625354962831,sent
130,0.013577047637823858,sell
281,0.013569324401069949,example
805,0.013216610405456075,education
487,0.013008408599342047,history
259,0.012790160817209628,european
125,0.012330061158688954,risk
22,0.012323822295322584,make
228,0.012158279991923981,line
10,0.01215322300643007,say
506,0.012132193693174864,amount
975,0.012099760707117158,ground
396,0.012075034353138392,statement
726,0.012064817273925721,holiday
388,0.011991426640454605,finance
548,0.011955896252148435,industrial
580,0.011941263248398615,investing
818,0.011929827607722654,love
107,0.01192067983105538,point
758,0.01186728942665738,related
131,0.011773489127808956,know
189,0.011720127410947745,official
964,0.011674637296740897,subscription
885,0.011575507889854952,manufacturer
366,0.011535394204664318,sold
823,0.011491920487158858,improve
34,0.01146635036059429,bank
935,0.011426457965315606,sound
712,0.011409924517312042,hundred
44,0.011267073337609457,government
752,0.011215908700246358,chip
319,0.011169029272988906,others
650,0.011034651692989339,voice
159,0.01085796366750058,digital
273,0.01085222777629391,selling
986,0.010842161112970983,particular
667,0.010706579587713039,wealth
234,0.01068184160046548,microsoft
547,0.010578233627436484,hope
330,0.010573517838743163,central
469,0.01051255651455918,course
795,0.010509869925801052,compete
445,0.01044525687982678,shopping
312,0.010388160964457382,software
941,0.01037140898012856,specific
111,0.010370491869666099,right
154,0.01029688454442601,profit
839,0.010280395194306235,justice
190,0.010249304973954043,level
138,0.010162862338649603,house
536,0.010124263235225639,grocery
254,0.010105352555874747,political
759,0.010098940602520923,instagram
192,0.01002978695726564,general
