,MI_Values,target_group
51,0.018731044598640167,microsoft
814,0.017555143813735352,site
954,0.015949626763646974,traditional
675,0.015332061177328438,samsung
700,0.014910370919551719,built
370,0.014658332473216795,country
539,0.01458851698201924,expansion
348,0.014312697505540983,taking
623,0.014171024188831316,sachs
402,0.014131204200588998,double
817,0.014080980859659364,tree
486,0.01405576118870866,employer
356,0.013655706541876311,owner
722,0.013530488906887461,fire
691,0.01332272330696771,california
963,0.013290329669986,pledge
343,0.0132351158858115,add
637,0.012925565684659635,dell
731,0.012783122257964186,lending
392,0.012580368297269606,budget
747,0.01257425521761224,top
289,0.012221639833939424,investing
436,0.012188379640745595,shopper
316,0.012142088458154898,small
755,0.01191609454003828,pain
252,0.011858734404408544,warns
908,0.011826037031772874,ring
386,0.011764720614506619,list
794,0.01159629628972847,computer
770,0.01137013654652197,soar
49,0.011216475231023093,want
741,0.011154555841178082,towards
318,0.011099108816460035,question
566,0.01097651427125057,stand
680,0.010902009049249983,brainstorm
129,0.010883896829921635,battle
359,0.010831038326675424,washington
215,0.010823167445451753,privacy
251,0.01081620359136104,trading
181,0.010759912193858856,startup
264,0.010509218112579433,europe
972,0.010479405439543843,engine
21,0.010459319676364487,facebook
186,0.010457674058317101,post
218,0.010450192254120028,life
701,0.010060222279101971,loan
50,0.010029660387870898,tariff
214,0.010019184982442919,looking
757,0.010012998378372995,following
855,0.009908791757168078,caution
441,0.009853808875203374,defense
315,0.009851045723198615,phone
312,0.009838837538439948,saudi
60,0.009726319301972763,talk
478,0.009717136918323543,offering
407,0.00969483768199031,became
664,0.009672162331941792,around
248,0.009232035330136057,pressure
843,0.009034134092782864,wrap
559,0.008954727326305756,streak
393,0.008929663617643246,decade
300,0.008889373399771472,team
780,0.008876525538951352,dropbox
6,0.008837328009948964,tech
982,0.008792656403759702,gawande
553,0.00873336003302394,play
68,0.008697063986755182,netflix
341,0.00869332311579818,focus
361,0.00868518940663665,david
325,0.008632611288777126,strong
400,0.008588805966023738,depot
443,0.008539993697866954,building
867,0.008535177898671753,viacom
608,0.008384595074997225,culture
776,0.008326007587667883,announces
253,0.008324206233498277,know
895,0.008297553780362898,british
389,0.008285860049031202,speaker
327,0.008259122935423857,founder
555,0.00817891298107698,forecast
835,0.008140239477549605,medicaid
88,0.008073692611758165,briefing
572,0.008043348115421844,sonos
519,0.008005846170789033,live
425,0.007984574842030634,loom
727,0.007956780901265281,holding
721,0.00795591186296063,foreign
784,0.007782275265945771,session
491,0.007777632761185149,effect
883,0.00774751826865816,item
13,0.007684376344672117,say
612,0.00762604652817811,union
903,0.00762360678211782,hand
517,0.007623151988286336,four
113,0.007601203722513494,boost
609,0.007556209514871792,beware
602,0.007520099496528099,win
244,0.00747223968024624,working
830,0.007427401082250373,split
52,0.007329499043114973,start
911,0.007299522701009753,obamacare
99,0.007270660048980915,tesla
795,0.00725477721216139,measure
149,0.007216099960500211,medium
550,0.007155721940789839,miss
357,0.0071282923301128065,supply
328,0.007115697793686371,inside
591,0.0070587530271539745,death
460,0.007046224346806795,spending
859,0.0070311952354802365,education
565,0.006948027675754087,plunge
38,0.006901893505466772,bank
410,0.006885971164778182,bankruptcy
514,0.006854479253026069,bet
173,0.006847152111138177,move
950,0.006839411849827615,blackrock
992,0.006833048156555499,regret
429,0.006812244107926579,reality
792,0.0068112685725283395,survey
985,0.00680105729144298,cctv
810,0.0067112083524667465,homeless
861,0.006615618865285278,factor
